@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Time_training numeric
@attribute Time_testing numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 51\nSize of the tree: 77\n','Number of leaves: 59\nSize of the tree: 87\n','Number of leaves: 66\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 88\n','Number of leaves: 60\nSize of the tree: 88\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 38\nSize of the tree: 50\n','Number of leaves: 55\nSize of the tree: 75\n','Number of leaves: 53\nSize of the tree: 71\n','Number of leaves: 51\nSize of the tree: 60\n','Number of leaves: 37\nSize of the tree: 53\n','Number of leaves: 37\nSize of the tree: 48\n','Number of leaves: 32\nSize of the tree: 43\n','Number of leaves: 61\nSize of the tree: 76\n','Number of leaves: 62\nSize of the tree: 78\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

labor-neg-data,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.568182,0.210526,0.458831,44.568245,91.221788,19.209354,4296,-4276.790646,1.011019,226.105263,-225.094245,10.455238,0.550276,1149.260472,0.75,6,0.181818,2,0.818182,9,0.25,2,0.75,0.75,0.75,0.002,0,?,?,?,?
labor-neg-data,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,11,8,0,57.894737,42.105263,0,0.095238,0.421053,0.648886,91.428571,134.420563,18.059873,8592,-8573.940127,0.95052,452.210526,-451.260007,0.97138,0.051125,103.9946,0.428571,3,0.333333,4,0.666667,8,0.571429,4,0.428571,0.428571,0.428571,0.001,0,?,?,?,?
labor-neg-data,6,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,17,2,0,89.473684,10.526316,0,0.759494,0.105263,0.324443,22.857143,67.210281,18.059873,2148,-2129.940127,0.95052,113.052632,-112.102112,13.78775,0.725671,1476.096902,0.714286,5,0,0,1,12,0.285714,2,1,0.714286,0.833333,0.001,0,?,?,?,?
labor-neg-data,7,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,16,3,0,84.210526,15.789474,0,0.677966,0.157895,0.39736,32.258065,75.164603,20.778422,3222,-3201.221578,1.093601,169.578947,-168.485346,14.023806,0.738095,1591.279995,0.666667,6,0,0,1,10,0.333333,3,1,0.666667,0.8,0.001,0.001,?,?,?,?
labor-neg-data,8,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.536585,0.210526,0.458831,44.568245,91.221788,19.209354,4296,-4276.790646,1.011019,226.105263,-225.094245,10.455238,0.550276,1149.260472,0.5,4,0,0,1,11,0.5,4,1,0.5,0.666667,0.001,0,?,?,?,?
labor-neg-data,9,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.518987,0.210526,0.458831,45.714286,95.049691,18.059873,4296,-4277.940127,0.95052,226.105263,-225.154744,9.515627,0.500822,1018.729468,0.571429,4,0.083333,1,0.916667,11,0.428571,3,0.8,0.571429,0.666667,0.001,0,?,?,?,?
labor-neg-data,10,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,19,15,4,0,78.947368,21.052632,0,0.573034,0.210526,0.458831,43.010753,86.792607,20.778422,4296,-4275.221578,1.093601,226.105263,-225.011662,11.772267,0.619593,1335.798091,0.666667,6,0.1,1,0.9,9,0.333333,3,0.857143,0.666667,0.75,0.002,0,?,?,?,?
soybean,1,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,94,138,0,40.517241,59.482759,0,0.322929,0.062613,0.250227,64.997795,113.917959,904.067586,148212,-147307.932414,3.896843,638.844828,-634.947985,277.149728,1.194611,7196.382832,0,0,0,0,1,225,1,7,0,0,0,0.014,0.006,?,?,?,?
soybean,2,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,87,145,0,37.5,62.5,0,0.307277,0.065789,0.256495,68.293416,116.741441,906.092684,155730,-154823.907316,3.905572,671.25,-667.344428,264.820941,1.14147,6887.057649,0,0,0,0,1,222,1,10,0,0,0,0.016,0.011,?,?,?,?
soybean,3,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,90,142,0,38.793103,61.206897,0,0.318311,0.064428,0.253827,66.88246,115.530354,902.304506,152508,-151605.695494,3.889244,657.362069,-653.472825,276.31996,1.191034,7177.063341,0,0,0,0,1,225,1,7,0,0,0,0.014,0.007,?,?,?,?
soybean,4,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,88,144,0,37.931034,62.068966,0,0.309795,0.065336,0.255609,67.643473,115.838521,918.841627,154656,-153737.158373,3.960524,666.62069,-662.660165,273.314189,1.178078,7151.420762,0,0,0,0,1,225,1,7,0,0,0,0.014,0.011,?,?,?,?
soybean,5,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,91,141,0,39.224138,60.775862,0,0.318188,0.063975,0.252932,66.45741,115.251352,900.439927,151434,-150533.560073,3.881207,652.732759,-648.851552,278.21052,1.199183,7220.635354,0,0,0,0,1,225,1,7,0,0,0,0.014,0.006,?,?,?,?
soybean,6,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,89,143,0,38.362069,61.637931,0,0.307723,0.064882,0.25472,67.437264,116.216252,893.103928,153582,-152688.896072,3.849586,661.991379,-658.141793,268.931055,1.159186,6949.400302,1,5,0.110132,25,0.889868,202,0,0,0.166667,1,0.285714,0.015,0.01,?,?,?,?
soybean,7,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,96,136,0,41.37931,58.62069,0,0.328724,0.061706,0.248407,64.096265,113.198863,897.6277,146064,-145166.3723,3.869085,629.586207,-625.717122,288.372172,1.242984,7465.801727,0,0,0,0,1,226,1,6,0,0,0,0.015,0.006,?,?,?,?
soybean,8,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,88,144,0,37.931034,62.068966,0,0.299329,0.065336,0.255609,67.882289,116.560048,899.630665,154656,-153756.369335,3.877718,666.62069,-662.742971,260.240684,1.121727,6740.164643,0,0,0,0,1,223,1,9,0,0,0,0.014,0.01,?,?,?,?
soybean,9,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,94,138,0,40.517241,59.482759,0,0.330363,0.062613,0.250227,65.219359,114.683797,870.137359,148212,-147341.862641,3.750592,638.844828,-635.094236,289.168173,1.246415,7375.325711,0,0,0,0,1,225,1,7,0,0,0,0.016,0.006,?,?,?,?
soybean,10,weka.classifiers.OneR,'-B 6',-2853544795764806635,20011014.2125,232,96,136,0,41.37931,58.62069,0,0.34022,0.061706,0.248407,64.037188,113.018736,916.030518,146064,-145147.969482,3.948407,629.586207,-625.637799,293.379323,1.264566,7653.008112,1,3,0.113537,26,0.886463,203,0,0,0.103448,1,0.1875,0.015,0.01,?,?,?,?
